Src_MAC,Dest_MAC,Time,Len
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957193.773101,354
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957198.281605,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957198.292059,72
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.127740,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.127752,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.128224,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.128230,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.128628,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.129194,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.129200,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.129788,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957199.129794,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.130558,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.130564,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.131170,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.131176,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.131794,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.131800,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.132495,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.132501,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957199.133159,440
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957224.012160,354
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957228.443927,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957228.454538,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957228.475556,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957228.486005,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957228.507182,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957228.517697,72
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.127696,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.127703,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.128210,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.128216,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.128622,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.129212,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.129218,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.129992,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957229.129998,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.130591,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.130598,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.131208,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.131214,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.131758,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.131764,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.132345,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.132351,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957229.132962,440
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957254.250869,354
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957258.762149,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957258.772601,72
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.128156,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.128163,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.128711,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.129292,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.129814,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.129820,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.130412,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.130418,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957259.131066,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.131073,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.131697,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.131703,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.132239,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.132245,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.132892,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.132898,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.133491,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957259.133496,440
60:32:b1:64:50:6d,01:00:5e:00:00:01,1646957278.035114,32
60:32:b1:64:50:6d,33:33:00:00:00:01,1646957278.035759,0
60:32:b1:64:50:6d,01:00:5e:00:00:02,1646957280.579127,32
28:6d:97:77:cf:e8,01:00:5e:00:00:fb,1646957281.288927,32
ee:3a:28:eb:91:a0,33:33:00:00:00:16,1646957283.342093,0
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957283.549120,32
60:32:b1:64:50:6d,01:00:5e:00:00:16,1646957284.089076,32
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957284.489993,354
28:6d:97:77:cf:e8,33:33:00:00:00:16,1646957285.848894,0
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957288.952717,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957288.963180,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957288.984374,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957288.995273,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957289.023025,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957289.033496,72
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.128640,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.128647,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.129322,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.129328,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.129905,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.129911,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.130576,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.130582,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957289.131203,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.131209,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.131769,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.131775,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.132381,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.132387,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.133061,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.133067,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.133668,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957289.133674,440
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957314.728719,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.128740,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.128751,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.129231,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.129235,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.129643,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.130465,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.130475,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.131064,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957319.131070,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.131677,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.131682,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.132291,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.132297,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.132834,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.132839,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.133519,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.133523,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957319.134196,440
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957319.250138,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957319.260588,72
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957344.968157,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129202,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129215,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129919,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.129925,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.130609,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.130615,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.131207,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.131213,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957349.131856,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.131861,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.132490,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.132495,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.133044,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.133549,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.133554,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957349.134173,438
