Unnamed: 0,cipher_suites,source_port,dest_port,source_ip,dest_ip,source_mac,dest_mac,flow_duration,start_time,end_time,flow_rate,flow_volume,domain,sleep_time
t0,,5228,40234,46.105.38.79,192.168.1.120,14:cc:20:51:33:ea,18:b7:9e:02:20:44,20209.035816907883,1474552802.257569,1474573011.293386,0.0568557555347934,185700,sip.invoxia.com,19.65587708296208
t1,,443,46330,52.87.241.159,192.168.1.106,14:cc:20:51:33:ea,30:8c:fb:2f:e4:b2,21287.684414863583,1474552802.323085,1474574090.0075,1.8707060488079483,4506308,,19.65587708296208
t2,,443,3063,52.1.40.122,192.168.1.196,14:cc:20:51:33:ea,d0:52:a8:00:67:5e,21283.79394197464,1474552802.383174,1474574086.177116,0.2652722543449028,394320,pool.ntp.org,19.65587708296208
t3,,1935,37802,212.83.131.101,192.168.1.166,14:cc:20:51:33:ea,00:24:e4:11:18:a8,21283.71950912476,1474552804.580114,1474574088.299623,0.3880900608776945,545160,babyws.withings.net,19.65587708296208
t4,,49335,50443,192.168.1.143,54.254.250.149,f4:f2:6d:93:51:f1,14:cc:20:51:33:ea,21228.14696502685,1474552806.387373,1474574034.534338,0.0493213091903368,117613,,101.72609400749208
t5,,49153,4425,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.011056900024414,1474552807.720236,1474552807.731293,904.4126272209764,1065,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t6,,49153,4426,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0093128681182861,1474552807.731517,1474552807.74083,1073.7830572693993,1067,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
t8,,49152,4977,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0219440460205078,1474552807.970959,1474552807.992903,455.7044763146458,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t9,,49152,4978,192.168.1.249,192.168.1.193,00:16:6c:ab:6b:88,ec:1a:59:83:28:11,0.0270531177520751,1474552808.014684,1474552808.041737,369.6431624496559,2032,d3gjecg2uu2eaq.cloudfront.net,53.05976975826254
t10,,49153,4431,192.168.1.223,192.168.1.193,ec:1a:59:79:f4:89,ec:1a:59:83:28:11,0.0289239883422851,1474552808.014769,1474552808.043693,484.0273006033829,4740,d3gjecg2uu2eaq.cloudfront.net,21.2086563292827
